Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Trade_Return
Fixed_100pct,2023-03-21,2023-03-22,3106.10009765625,3130.800048828125,0.007952078296032061
Fixed_100pct,2023-03-24,2023-03-27,3120.5,3122.300048828125,0.0005768462836484023
Fixed_100pct,2023-03-28,2023-03-29,3115.89990234375,3138.89990234375,0.007381495144532568
Fixed_100pct,2023-04-13,2023-05-23,3188.85009765625,3297.050048828125,0.033930711026962435
Fixed_100pct,2023-05-24,2023-05-26,3303.35009765625,3328.89990234375,0.007734513125214226
Fixed_100pct,2023-05-31,2023-06-01,3289.5,3324.0,0.010487916096671324
Fixed_100pct,2023-06-02,2023-06-07,3305.60009765625,3274.89990234375,-0.009287328898092362
Fixed_100pct,2023-06-08,2023-06-12,3236.449951171875,3246.89990234375,0.0032288313830068915
Fixed_100pct,2023-06-13,2023-06-15,3243.699951171875,3216.300048828125,-0.008447113714648902
Fixed_100pct,2023-06-30,2023-07-05,3302.25,3319.949951171875,0.005359967044250125
Fixed_100pct,2023-09-25,2023-09-29,3577.14990234375,3528.60009765625,-0.013572203014385886
Fixed_100pct,2023-10-05,2023-10-06,3589.35009765625,3621.39990234375,0.008929138650595192
Fixed_100pct,2023-10-10,2023-10-16,3628.89990234375,3524.050048828125,-0.02889301340274142
Fixed_100pct,2023-11-29,2023-11-30,3513.75,3487.60009765625,-0.0074421635983635825
Fixed_100pct,2023-12-04,2023-12-05,3512.449951171875,3531.60009765625,0.005452076684533402
Fixed_100pct,2023-12-15,2023-12-18,3861.0,3859.199951171875,-0.0004662131126974556
Fixed_100pct,2024-03-27,2024-03-28,3840.89990234375,3876.300048828125,0.009216628234121282
Fixed_100pct,2024-04-18,2024-04-23,3862.0,3874.699951171875,0.003288438936270177
Fixed_100pct,2024-04-24,2024-05-06,3831.050048828125,3921.050048828125,0.02349225378236186
Fixed_100pct,2024-05-28,2024-06-04,3839.89990234375,3715.0,-0.032526864116305565
Fixed_100pct,2024-10-11,2024-11-06,4149.2001953125,4139.64990234375,-0.0023017190106997543
Fixed_100pct,2024-11-07,2024-11-11,4150.89990234375,4198.7001953125,0.011515645786052353
Fixed_100pct,2024-11-18,2024-11-19,4019.5,4039.550048828125,0.004988194757588049
Fixed_100pct,2025-02-01,2025-02-04,4073.14990234375,4107.0498046875,0.008322773076493872
Fixed_100pct,2025-02-13,2025-02-14,3910.14990234375,3934.85009765625,0.006316943321711177
Fixed_100pct,2025-02-17,2025-04-21,3904.5,3321.60009765625,-0.1492892565869509
Fixed_100pct,2025-04-22,2025-04-23,3314.39990234375,3413.0,0.02974900451406781
Fixed_100pct,2025-07-14,2025-07-15,3222.699951171875,3252.300048828125,0.009184875447522334
Fixed_100pct,2025-07-17,2025-12-23,3209.199951171875,3310.0,0.031409712813723845
Fixed_100pct,2026-01-05,2026-01-07,3216.10009765625,3295.60009765625,0.024719379865675295
Fixed_100pct,2026-01-08,2026-02-04,3203.89990234375,2999.10009765625,-0.06392203593429457
Fixed_100pct,2026-02-23,2026-02-24,2676.300048828125,2573.699951171875,-0.038336545149777024
Fixed_100pct,2026-02-25,2026-03-04,2629.300048828125,2587.800048828125,-0.015783668363942183
Fixed_100pct,2026-03-18,2026-03-19,2440.800048828125,2356.0,-0.03474272661901945
Fixed_100pct,2026-03-23,2026-03-24,2383.800048828125,2398.800048828125,0.006292474071964982
Fixed_100pct,2026-03-27,2026-03-30,2389.800048828125,2358.89990234375,-0.012930013328741552
Fixed_100pct,2026-04-01,2026-04-07,2408.199951171875,2539.800048828125,0.054646665694105145
Fixed_100pct,2026-04-24,2026-04-30,2396.89990234375,2473.89990234375,0.03212482921156101
Fixed_75pct,2023-03-21,2023-03-22,3106.10009765625,3130.800048828125,0.007952078296032061
Fixed_75pct,2023-03-24,2023-03-27,3120.5,3122.300048828125,0.0005768462836484023
Fixed_75pct,2023-03-28,2023-03-29,3115.89990234375,3138.89990234375,0.007381495144532568
Fixed_75pct,2023-04-13,2023-05-23,3188.85009765625,3297.050048828125,0.033930711026962435
Fixed_75pct,2023-05-24,2023-05-26,3303.35009765625,3328.89990234375,0.007734513125214226
