Entry_Date,Exit_Date,Entry_Price,Exit_Price,Return
2024-08-12,2024-08-20,3898.012939453125,4202.419921875,0.07809286093970269
2024-09-19,2024-09-26,3991.383544921875,3987.99267578125,-0.0008495473067074988
2024-10-10,2024-10-17,3927.510498046875,3817.51025390625,-0.02800762574545057
2024-10-18,2024-10-25,3839.908203125,3778.906494140625,-0.01588624148221318
2024-10-28,2024-11-04,3809.919921875,3691.92041015625,-0.03097165140958613
2024-11-05,2024-11-12,3698.6259765625,3909.152587890625,0.05692022190461876
2024-12-19,2024-12-27,3978.5361328125,3878.837890625,-0.02505902645077185
2025-01-07,2025-01-14,3751.6650390625,3942.3544921875,0.050827952692879874
2025-02-13,2025-02-20,3708.63671875,3584.625244140625,-0.033438560855098554
2025-02-24,2025-03-04,3486.175048828125,3350.022705078125,-0.039054936095583415
2025-03-05,2025-03-12,3364.24951171875,3325.5048828125,-0.011516574133782376
2025-03-13,2025-03-21,3330.104736328125,3393.69970703125,0.01909698815456684
2025-04-03,2025-04-11,3227.765380859375,3064.9619140625,-0.05043844505003314
2025-04-15,2025-04-23,3080.80126953125,3237.108154296875,0.050735789520564456
2025-05-29,2025-06-05,3317.822509765625,3225.786865234375,-0.027739773378580024
2025-07-24,2025-07-31,3022.526611328125,2915.7587890625,-0.03532403051985378
2025-08-05,2025-08-12,2941.7783203125,2914.414306640625,-0.009301861218750207
2025-08-13,2025-08-21,2915.1826171875,2978.936279296875,0.021869526023341468
2025-09-26,2025-10-06,2783.547119140625,2869.28759765625,0.03080259641593419
