Date,Close,Future_Return_5D,Predicted_Return,Signal,Signal_Strength,Predicted_Return_Percent,Volatility_20,Volatility_Percent,Risk_Score,Risk_Level
2024-06-04,3443.46240234375,0.0369045254034514,0.022836223,BUY,Strong,2.2836223,0.0113109652990184,1.13109652990184,35,Low
2024-06-05,3472.61376953125,0.0227414199245687,0.020901892,BUY,Strong,2.0901892,0.0108913360402614,1.08913360402614,35,Low
2024-06-06,3550.42724609375,0.0124661080759564,0.0064853826,BUY,Weak,0.64853826,0.0122431871180782,1.22431871180782,35,Low
2024-06-07,3609.33251953125,-0.0158964939116572,-0.004898918,AVOID,Weak,-0.4898918,0.0128635248887406,1.28635248887406,35,Low
2024-06-10,3576.658935546875,-0.0112990482249311,-0.014075351,AVOID,Moderate,-1.4075351,0.0124580112172262,1.2458011217226201,35,Low
2024-06-11,3570.541748046875,-0.0130838836319249,-0.0041480013,HOLD,Weak,-0.41480013,0.0120251774840466,1.2025177484046599,35,Low
2024-06-12,3551.5859375,-0.0115875830119906,-0.0066138706,AVOID,Weak,-0.66138706,0.0117977994436944,1.1797799443694401,35,Low
2024-06-13,3594.687255859375,-0.0173794348063708,-0.010609607,AVOID,Moderate,-1.0609607,0.0120626154274189,1.20626154274189,35,Low
2024-06-14,3551.956787109375,-0.0039794306271678,0.0039888667,HOLD,Weak,0.3988866699999999,0.0120017910852249,1.20017910852249,35,Low
2024-06-18,3536.24609375,0.0061203507426992,-0.009149393,AVOID,Weak,-0.9149393,0.0114145272205379,1.14145272205379,35,Low
2024-06-19,3523.8251953125,0.0142435823996085,-0.0028913002,HOLD,Weak,-0.28913002,0.0114127624907543,1.14127624907543,35,Low
2024-06-20,3510.431640625,0.0387879929295553,-0.0018166396,HOLD,Weak,-0.18166396,0.0114128497774257,1.14128497774257,35,Low
2024-06-21,3532.213623046875,0.0245096971947713,-0.0072561586,AVOID,Weak,-0.72561586,0.0108603527323225,1.08603527323225,35,Low
2024-06-24,3537.822021484375,0.0422866210210683,-0.0023844582,HOLD,Weak,-0.23844582,0.0105979115787979,1.05979115787979,35,Low
2024-06-25,3557.88916015625,0.0466203722828215,-0.0023123089,HOLD,Weak,-0.23123089,0.0106832035204246,1.06832035204246,35,Low
2024-06-26,3574.01708984375,0.0283725707475026,-0.0055807773,AVOID,Weak,-0.55807773,0.0107220277150231,1.07220277150231,35,Low
2024-06-27,3646.59423828125,0.0220632077903384,-0.0075968285,AVOID,Weak,-0.7596828499999999,0.0113501729360634,1.13501729360634,35,Low
2024-06-28,3618.787109375,0.027573119662525,-0.017758457,AVOID,Moderate,-1.7758457,0.0106372644441457,1.06372644441457,35,Low
2024-07-01,3687.424560546875,0.0037706677129452,-0.009535318,AVOID,Weak,-0.9535318,0.0101955088654622,1.0195508865462202,35,Low
2024-07-02,3723.75927734375,-0.0079404594048012,-0.012838493,AVOID,Moderate,-1.2838493,0.0102265006182274,1.0226500618227399,35,Low
2024-07-03,3675.421142578125,-0.0141479721213388,0.0004928652,HOLD,Weak,0.0492865199999999,0.0109208351725935,1.0920835172593502,35,Low
2024-07-04,3727.0498046875,-0.0241858441466904,-0.017978372,AVOID,Moderate,-1.7978372,0.0111285492811812,1.11285492811812,35,Low
2024-07-05,3718.568359375,0.0429111689804175,-0.011799937,AVOID,Moderate,-1.1799937,0.0102684711373759,1.02684711373759,35,Low
2024-07-08,3701.32861328125,0.0440749145055994,-0.02305565,AVOID,Strong,-2.305565,0.0098074642280443,0.98074642280443,20,Low
2024-07-09,3694.19091796875,0.0484131481238425,-0.011432252,AVOID,Moderate,-1.1432252,0.0095371392774342,0.9537139277434201,20,Low
2024-07-10,3623.42138671875,0.1039610865022442,-0.005610373,AVOID,Weak,-0.5610373,0.0106003586280924,1.06003586280924,35,Low
2024-07-11,3636.907958984375,0.0990627837233226,-0.010537389,AVOID,Moderate,-1.0537389,0.0105189841714636,1.0518984171463601,35,Low
2024-07-12,3878.136474609375,0.0270933676603872,-0.012714693,AVOID,Moderate,-1.2714693,0.0178785281977692,1.7878528197769201,50,Moderate
2024-07-15,3864.46435546875,0.0343332672514471,-0.008307988,AVOID,Weak,-0.8307988000000001,0.0175840382405927,1.7584038240592699,50,Moderate
2024-07-16,3873.038330078125,0.0329790818373589,-0.002806109,HOLD,Weak,-0.2806109,0.0174716342058415,1.74716342058415,50,Moderate
2024-07-18,4000.1162109375,0.0039368973411173,-0.016696533,AVOID,Moderate,-1.6696533,0.0184344014808333,1.84344014808333,50,Moderate
2024-07-19,3997.190185546875,0.0198611805619559,-0.012439832,AVOID,Moderate,-1.2439832,0.0183566033388712,1.83566033388712,50,Moderate
